,x,y,sort
304,17.522545,-16.28877,5
305,-28.496885,24.736958,6
306,-11.029628,23.591236,3
307,3.9662368,-10.262777,9
308,3.895718,-3.7899783,8
309,30.099741,-9.110309,1
310,24.066925,-2.2812304,2
311,-19.11723,2.806761,1
312,-11.295314,13.88014,8
313,-10.96729,-13.723041,3
314,44.969078,-1.9633731,0
315,-26.247248,15.741366,4
316,-4.279206,7.049195,8
317,-5.8173776,-8.76489,7
318,10.00947,-9.571307,7
319,14.111417,-9.1596365,7
320,-6.82719,-9.09452,8
321,-25.574736,24.580605,5
322,-7.8008256,-22.919947,3
323,22.179934,-13.584313,5
324,-5.9524436,15.234141,7
325,1.3640144,-21.462046,8
326,2.7380638,-21.411291,8
327,-4.313712,-20.641138,3
328,4.9269156,3.6506171,7
329,-4.4196773,-2.4432297,8
330,17.018541,-5.8727775,2
331,49.862103,7.1123853,0
332,58.11172,9.167255,0
333,-12.187579,-24.699474,1
334,-24.652721,-29.178587,4
335,-19.3341,11.225668,3
336,-19.01603,20.063845,1
337,-10.360736,-18.895205,3
338,22.23801,-9.670034,2
339,31.810162,16.434908,1
340,20.30826,-7.403479,2
341,-31.978222,-27.280415,6
342,2.517157,-6.7596407,8
343,-25.386333,-26.326714,6
344,-22.627125,-7.956157,1
345,16.270454,-26.797417,1
346,15.577653,-0.6334156,5
347,-25.699928,11.84485,4
348,49.932316,-7.576854,0
349,47.242283,-2.7175567,0
350,-9.236511,21.52595,1
351,4.164316,-13.374726,8
352,-2.3272035,31.07068,8
353,4.1260605,12.567579,9
354,-0.43853855,18.287457,9
355,1.8997997,18.375887,9
356,21.862387,7.7545652,2
357,-24.595282,-11.475325,5
358,1.3065598,13.141674,9
359,-4.473978,30.123192,8
360,9.272027,17.987995,3
361,-18.083612,-26.967846,4
362,11.523615,-26.87124,1
363,3.1973171,-0.8436258,7
364,-18.737598,-17.554222,1
365,1.7294888,8.832844,7
366,12.627905,7.416207,2
367,6.519049,-12.268499,8
368,46.84035,7.354978,0
369,30.92248,-3.8996224,1
370,4.888743,22.865349,3
371,5.539226,20.392761,9
372,15.222671,21.335997,5
373,54.60539,-3.5002437,0
374,-3.9172885,-28.978558,1
375,6.535446,-14.9978895,8
376,-40.886204,9.597172,5
377,-0.36609304,-16.778837,9
378,-14.860448,-3.6196074,3
379,10.641638,2.7599483,7
380,2.263345,5.3615236,7
381,9.510089,31.385849,5
382,-1.5605308,17.343185,9
383,-8.207367,-21.464918,3
384,-6.00007,23.982779,8
385,-30.270693,-20.455107,6
386,-29.181532,16.340038,4
387,11.538755,-28.075476,1
388,-22.256195,-12.536136,1
389,12.717158,10.722708,2
390,14.240065,3.505274,9
391,-30.450558,-1.0061507,4
392,-1.1134938,25.824621,8
393,-18.564817,-18.725584,1
394,-21.082758,-1.2158029,5
395,-2.9761455,30.916206,8
396,3.12855,1.5516301,7
397,10.185559,1.5999334,7
398,1.7589577,-12.2372875,9
399,9.462431,11.247376,9
400,-33.113663,-7.934615,6
401,-8.820879,-20.748056,3
402,-35.919277,18.234648,6
403,-18.530561,0.80580705,3
404,55.149128,8.362845,0
405,56.162277,-2.3786569,0
406,24.162693,-5.533885,2
407,58.73541,8.067459,0
408,-5.9816732,-14.834889,3
409,49.0411,10.452066,0
410,4.9019866,-9.422287,9
411,6.8870616,3.3547266,7
412,-18.453302,1.7028486,3
413,58.551403,-0.8000871,0
414,-34.86639,-10.862167,6
415,-17.120022,-34.651634,6
416,4.845217,9.023117,7
417,14.59212,16.563402,2
418,19.67542,15.66838,2
419,57.368385,-1.514172,0
420,31.25237,16.108614,5
421,-10.216631,-21.161,3
422,-17.609892,14.186985,1
423,-9.514926,9.300079,9
424,-8.078538,17.889692,8
425,-36.136078,11.94631,6
426,0.12819377,-6.159003,7
427,21.66146,-1.6053462,2
428,-30.25382,5.322079,4
429,-12.707408,-30.223951,4
430,-10.462968,-4.2691,1
431,-4.577479,-21.43705,3
432,-37.429382,-3.6293316,6
433,14.896313,27.551891,5
434,17.986692,-3.5884235,2
435,7.434116,10.997747,9
436,-7.732218,14.718615,8
